 datid | datname |  pid  | usesysid | usename | application_name | client_addr | client_hostname | client_port |         backend_start         |          xact_start           |          query_start          |         state_change          | wait_event_type |     wait_event      |        state        | backend_xid | backend_xmin |                                       query                                       |    backend_type     
-------+---------+-------+----------+---------+------------------+-------------+-----------------+-------------+-------------------------------+-------------------------------+-------------------------------+-------------------------------+-----------------+---------------------+---------------------+-------------+--------------+-----------------------------------------------------------------------------------+---------------------
       |         | 18563 |          |         |                  |             |                 |             | 2019-11-01 19:20:02.10494+08  |                               |                               |                               | Activity        | AutoVacuumMain      |                     |             |              |                                                                                   | autovacuum launcher
       |         | 18565 |       10 | tcn     |                  |             |                 |             | 2019-11-01 19:20:02.120505+08 |                               |                               |                               | Activity        | LogicalLauncherMain |                     |             |              |                                                                                   | background worker
 16384 | vandat  | 20500 |       10 | tcn     |                  | ::1         |                 |       53114 | 2019-11-01 20:31:27.314149+08 | 2019-11-01 20:41:51.114982+08 | 2019-11-01 20:41:51.140208+08 | 2019-11-01 20:41:51.140209+08 | LWLock          | wal_insert          | active              |     5115761 |      5115638 | execute p_new_order7_1_05(83503,56)                                               | client backend
 16384 | vandat  | 20502 |       10 | tcn     |                  | ::1         |                 |       53118 | 2019-11-01 20:31:27.314771+08 | 2019-11-01 20:41:51.132827+08 | 2019-11-01 20:41:51.140068+08 | 2019-11-01 20:41:51.14007+08  | IO              | DataFileRead        | active              |     5115786 |      5115638 | execute p_new_order9_8(3325,3,41,1,82520,41,2,96,'mmmmmmmmmmmmmmmmmmmmmmmm')      | client backend
 16384 | vandat  | 20499 |       10 | tcn     |                  | ::1         |                 |       53112 | 2019-11-01 20:31:27.313846+08 | 2019-11-01 20:41:51.11672+08  | 2019-11-01 20:41:51.140193+08 | 2019-11-01 20:41:51.140195+08 | IO              | DataFileRead        | active              |     5115755 |      5115638 | execute p_new_order9_8(3302,8,36,5,39419,36,7,185,'iiiiiiiiiiiiiiiiiiiiiiii')     | client backend
 16384 | vandat  | 20501 |       10 | tcn     |                  | ::1         |                 |       53116 | 2019-11-01 20:31:27.314492+08 | 2019-11-01 20:41:51.135641+08 | 2019-11-01 20:41:51.135945+08 | 2019-11-01 20:41:51.138799+08 |                 |                     | idle in transaction |             |              | execute p_purge2_3(97,10,2404)                                                    | client backend
 16384 | vandat  | 20503 |       10 | tcn     |                  | ::1         |                 |       53120 | 2019-11-01 20:31:27.315521+08 | 2019-11-01 20:41:51.097301+08 | 2019-11-01 20:41:51.098369+08 | 2019-11-01 20:41:51.09837+08  | IO              | DataFileWrite       | active              |             |      5115554 | execute p_stocklevel2_4(59,10,3290,3270,59,19)                                    | client backend
 16384 | vandat  | 20504 |       10 | tcn     |                  | ::1         |                 |       53122 | 2019-11-01 20:31:27.31656+08  | 2019-11-01 20:41:51.140031+08 | 2019-11-01 20:41:51.140112+08 | 2019-11-01 20:41:51.140275+08 |                 |                     | idle in transaction |             |              | execute p_purge1_4(75,3)                                                          | client backend
 16384 | vandat  | 20505 |       10 | tcn     |                  | ::1         |                 |       53124 | 2019-11-01 20:31:27.318366+08 | 2019-11-01 20:41:51.13958+08  | 2019-11-01 20:41:51.139981+08 | 2019-11-01 20:41:51.140252+08 |                 |                     | idle in transaction |     5115796 |              | execute p_new_order2_3(17,4)                                                      | client backend
 16384 | vandat  | 20506 |       10 | tcn     |                  | ::1         |                 |       53126 | 2019-11-01 20:31:27.31881+08  | 2019-11-01 20:41:51.138202+08 | 2019-11-01 20:41:51.138595+08 | 2019-11-01 20:41:51.138596+08 |                 |                     | active              |             |      5115638 | execute p_purge2_5(77,8,2433)                                                     | client backend
 16384 | vandat  | 20507 |       10 | tcn     |                  | ::1         |                 |       53128 | 2019-11-01 20:31:27.319256+08 | 2019-11-01 20:41:51.132602+08 | 2019-11-01 20:41:51.132958+08 | 2019-11-01 20:41:51.132959+08 | IO              | DataFileWrite       | active              |             |      5115638 | execute p_purge2_4(39,1,2371)                                                     | client backend
 16384 | vandat  | 20508 |       10 | tcn     |                  | ::1         |                 |       53130 | 2019-11-01 20:31:27.319677+08 | 2019-11-01 20:41:51.126569+08 | 2019-11-01 20:41:51.138421+08 | 2019-11-01 20:41:51.138857+08 |                 |                     | idle in transaction |     5115776 |              | execute p_new_order7_6_05(62471,80)                                               | client backend
 16384 | vandat  | 20509 |       10 | tcn     |                  | ::1         |                 |       53132 | 2019-11-01 20:31:27.320149+08 | 2019-11-01 20:41:51.106642+08 | 2019-11-01 20:41:51.137868+08 | 2019-11-01 20:41:51.13787+08  | IO              | DataFileWrite       | active              |     5115733 |      5115638 | execute p_new_order9_8(3310,2,56,9,93607,56,7,276,'mmmmmmmmmmmmmmmmmmmmmmmm')     | client backend
 16384 | vandat  | 20510 |       10 | tcn     |                  | ::1         |                 |       53134 | 2019-11-01 20:31:27.320478+08 | 2019-11-01 20:41:51.106944+08 | 2019-11-01 20:41:51.139473+08 | 2019-11-01 20:41:51.139475+08 | Client          | ClientRead          | active              |     5115735 |      5115638 | execute p_new_order8_3(45,43082,98)                                               | client backend
 16384 | vandat  | 20511 |       10 | tcn     |                  | ::1         |                 |       53136 | 2019-11-01 20:31:27.320984+08 | 2019-11-01 20:41:51.130029+08 | 2019-11-01 20:41:51.14005+08  | 2019-11-01 20:41:51.140052+08 | Client          | ClientRead          | active              |     5115779 |              | COMMIT                                                                            | client backend
 16384 | vandat  | 20512 |       10 | tcn     |                  | ::1         |                 |       53138 | 2019-11-01 20:31:27.3214+08   | 2019-11-01 20:41:51.13273+08  | 2019-11-01 20:41:51.139665+08 | 2019-11-01 20:41:51.140114+08 |                 |                     | idle in transaction |     5115785 |              | execute p_new_order7_3_08(41578,82)                                               | client backend
 16384 | vandat  | 20513 |       10 | tcn     |                  | ::1         |                 |       53140 | 2019-11-01 20:31:27.321893+08 | 2019-11-01 20:41:51.116554+08 | 2019-11-01 20:41:51.138989+08 | 2019-11-01 20:41:51.138991+08 | IO              | DataFileWrite       | active              |     5115753 |      5115638 | execute p_new_order9_5(3276,3,35,7,91334,35,3,78,'nnnnnnnnnnnnnnnnnnnnnnnn')      | client backend
 16384 | vandat  | 20514 |       10 | tcn     |                  | ::1         |                 |       53142 | 2019-11-01 20:31:27.322315+08 | 2019-11-01 20:41:51.064413+08 | 2019-11-01 20:41:51.139586+08 | 2019-11-01 20:41:51.139906+08 | IO              | WALWrite            | idle in transaction |     5115638 |              | execute p_delivery7_7(34943,1383,10,54)                                           | client backend
 16384 | vandat  | 20515 |       10 | tcn     |                  | ::1         |                 |       53144 | 2019-11-01 20:31:27.32302+08  | 2019-11-01 20:41:51.137662+08 | 2019-11-01 20:41:51.138031+08 | 2019-11-01 20:41:51.138033+08 |                 |                     | active              |             |      5115638 | execute p_purge2_3(74,8,2429)                                                     | client backend
 16384 | vandat  | 20517 |       10 | tcn     |                  | ::1         |                 |       53148 | 2019-11-01 20:31:27.324393+08 | 2019-11-01 20:41:51.117248+08 | 2019-11-01 20:41:51.138967+08 | 2019-11-01 20:41:51.138969+08 | IO              | DataFileRead        | active              |     5115758 |      5115638 | execute p_new_order9_8(3306,9,73,7,91949,73,8,277,'tttttttttttttttttttttttt')     | client backend
 16384 | vandat  | 20518 |       10 | tcn     |                  | ::1         |                 |       53150 | 2019-11-01 20:31:27.325157+08 | 2019-11-01 20:41:51.096334+08 | 2019-11-01 20:41:51.096726+08 | 2019-11-01 20:41:51.096727+08 | IO              | DataFileWrite       | active              |             |      5115554 | execute p_stocklevel2_3(77,7,3304,3284,77,17)                                     | client backend
 16384 | vandat  | 20516 |       10 | tcn     |                  | ::1         |                 |       53146 | 2019-11-01 20:31:27.324688+08 | 2019-11-01 20:41:51.130376+08 | 2019-11-01 20:41:51.140262+08 | 2019-11-01 20:41:51.140264+08 |                 |                     | active              |     5115788 |      5115638 | execute p_new_order9_7(3302,2,39,1,22539,39,3,117,'pppppppppppppppppppppppp')     | client backend
 16384 | vandat  | 20519 |       10 | tcn     |                  | ::1         |                 |       53152 | 2019-11-01 20:31:27.325674+08 | 2019-11-01 20:41:51.138865+08 | 2019-11-01 20:41:51.139965+08 | 2019-11-01 20:41:51.139966+08 |                 |                     | active              |     5115795 |      5115638 | execute p_payment7_8(2,4,7)                                                       | client backend
 16384 | vandat  | 20520 |       10 | tcn     |                  | ::1         |                 |       53154 | 2019-11-01 20:31:27.326279+08 | 2019-11-01 20:41:51.137599+08 | 2019-11-01 20:41:51.139222+08 | 2019-11-01 20:41:51.140211+08 |                 |                     | idle in transaction |     5115794 |              | execute p_new_order4_7(3278,7,70,2505,10,1)                                       | client backend
 16384 | vandat  | 20521 |       10 | tcn     |                  | ::1         |                 |       53156 | 2019-11-01 20:31:27.32774+08  | 2019-11-01 20:41:51.136971+08 | 2019-11-01 20:41:51.137863+08 | 2019-11-01 20:41:51.137865+08 | IO              | DataFileWrite       | active              |     5115792 |      5115638 | execute p_delivery5_3(2394,1,10)                                                  | client backend
 16384 | vandat  | 20522 |       10 | tcn     |                  | ::1         |                 |       53158 | 2019-11-01 20:31:27.328229+08 | 2019-11-01 20:41:51.113185+08 | 2019-11-01 20:41:51.131755+08 | 2019-11-01 20:41:51.131756+08 | IO              | DataFileWrite       | active              |     5115744 |      5115638 | execute p_delivery5_6(2420,3,49)                                                  | client backend
 16384 | vandat  | 20523 |       10 | tcn     |                  | ::1         |                 |       53160 | 2019-11-01 20:31:27.327833+08 | 2019-11-01 20:41:51.08459+08  | 2019-11-01 20:41:51.132552+08 | 2019-11-01 20:41:51.132553+08 | IO              | DataFileWrite       | active              |     5115680 |      5115638 | execute p_new_order9_4(3293,10,48,11,40563,48,5,52,'tttttttttttttttttttttttt')    | client backend
 16384 | vandat  | 20525 |       10 | tcn     |                  | ::1         |                 |       53164 | 2019-11-01 20:31:27.330726+08 | 2019-11-01 20:41:51.130974+08 | 2019-11-01 20:41:51.139342+08 | 2019-11-01 20:41:51.139353+08 |                 |                     | active              |     5115783 |      5115638 | execute p_new_order9_1(3287,3,35,1,49607,35,3,173,'bbbbbbbbbbbbbbbbbbbbbbbb')     | client backend
 16384 | vandat  | 20524 |       10 | tcn     |                  | ::1         |                 |       53162 | 2019-11-01 20:31:27.33076+08  | 2019-11-01 20:41:51.133891+08 | 2019-11-01 20:41:51.13967+08  | 2019-11-01 20:41:51.139672+08 |                 |                     | active              |     5115787 |      5115638 | execute p_payment11_7(10,55,2886,6,55,1170,'name-tgznh name-bjbib    ')           | client backend
 16384 | vandat  | 20526 |       10 | tcn     |                  | ::1         |                 |       53166 | 2019-11-01 20:31:27.332632+08 | 2019-11-01 20:41:51.140296+08 | 2019-11-01 20:41:51.140296+08 | 2019-11-01 20:41:51.140312+08 |                 |                     | idle in transaction |             |              | BEGIN                                                                             | client backend
 16384 | vandat  | 20528 |       10 | tcn     |                  | ::1         |                 |       53170 | 2019-11-01 20:31:27.334071+08 | 2019-11-01 20:41:51.133238+08 | 2019-11-01 20:41:51.140213+08 | 2019-11-01 20:41:51.140214+08 |                 |                     | active              |     5115789 |      5115638 | execute p_new_order8_3(55,15786,26)                                               | client backend
 16384 | vandat  | 20529 |       10 | tcn     |                  | ::1         |                 |       53172 | 2019-11-01 20:31:27.334566+08 | 2019-11-01 20:41:51.112131+08 | 2019-11-01 20:41:51.140239+08 | 2019-11-01 20:41:51.140241+08 |                 |                     | active              |     5115745 |      5115638 | execute p_delivery6_7(2398,5,27)                                                  | client backend
 16384 | vandat  | 20527 |       10 | tcn     |                  | ::1         |                 |       53168 | 2019-11-01 20:31:27.33363+08  | 2019-11-01 20:41:51.140122+08 | 2019-11-01 20:41:51.140198+08 | 2019-11-01 20:41:51.140199+08 |                 |                     | active              |             |      5115638 | execute p_orderstatus3_5(46,6,2455)                                               | client backend
 16384 | vandat  | 20531 |       10 | tcn     |                  | ::1         |                 |       53176 | 2019-11-01 20:31:27.336773+08 | 2019-11-01 20:41:51.110358+08 | 2019-11-01 20:41:51.13724+08  | 2019-11-01 20:41:51.137242+08 | Client          | ClientRead          | active              |     5115742 |      5115638 | execute p_new_order9_5(3288,9,63,5,45922,63,2,107,'kkkkkkkkkkkkkkkkkkkkkkkk')     | client backend
 16384 | vandat  | 20530 |       10 | tcn     |                  | ::1         |                 |       53174 | 2019-11-01 20:31:27.336733+08 | 2019-11-01 20:41:51.105018+08 | 2019-11-01 20:41:51.106679+08 | 2019-11-01 20:41:51.106681+08 | IO              | DataFileWrite       | active              |             |      5115554 | execute p_stocklevel2_1(83,10,3292,3272,83,13)                                    | client backend
 16384 | vandat  | 20532 |       10 | tcn     |                  | ::1         |                 |       53178 | 2019-11-01 20:31:27.337939+08 | 2019-11-01 20:41:51.107899+08 | 2019-11-01 20:41:51.13953+08  | 2019-11-01 20:41:51.139532+08 | IO              | DataFileWrite       | active              |     5115736 |      5115638 | execute p_delivery7_1(61519,2274,4,95)                                            | client backend
 16384 | vandat  | 20533 |       10 | tcn     |                  | ::1         |                 |       53180 | 2019-11-01 20:31:27.339019+08 | 2019-11-01 20:41:51.113468+08 | 2019-11-01 20:41:51.140359+08 | 2019-11-01 20:41:51.14036+08  |                 |                     | active              |     5115748 |      5115638 | execute p_new_order8_2(63,25851,96)                                               | client backend
 16384 | vandat  | 20535 |       10 | tcn     |                  | ::1         |                 |       53184 | 2019-11-01 20:31:27.341529+08 | 2019-11-01 20:41:51.113741+08 | 2019-11-01 20:41:51.114886+08 | 2019-11-01 20:41:51.114888+08 | IO              | DataFileWrite       | active              |             |      5115608 | execute p_stocklevel2_6(62,7,3268,3248,62,17)                                     | client backend
 16384 | vandat  | 20534 |       10 | tcn     |                  | ::1         |                 |       53182 | 2019-11-01 20:31:27.341202+08 | 2019-11-01 20:41:51.116649+08 | 2019-11-01 20:41:51.139148+08 | 2019-11-01 20:41:51.139149+08 | IO              | DataFileWrite       | active              |     5115762 |      5115638 | execute p_new_order7_4_09(79080,39)                                               | client backend
 16384 | vandat  | 20536 |       10 | tcn     |                  | ::1         |                 |       53186 | 2019-11-01 20:31:27.343433+08 | 2019-11-01 20:41:51.10476+08  | 2019-11-01 20:41:51.138372+08 | 2019-11-01 20:41:51.138374+08 | IO              | DataFileRead        | active              |     5115728 |      5115638 | execute p_new_order9_8(3299,9,26,7,48556,26,2,115,'wwwwwwwwwwwwwwwwwwwwwwww')     | client backend
 16384 | vandat  | 20537 |       10 | tcn     |                  | ::1         |                 |       53188 | 2019-11-01 20:31:27.344833+08 | 2019-11-01 20:41:51.13293+08  | 2019-11-01 20:41:51.134699+08 | 2019-11-01 20:41:51.134701+08 | IO              | DataFileWrite       | active              |             |      5115638 | execute p_stocklevel2_5(52,8,3289,3269,52,16)                                     | client backend
